Id	Text	Label	Entities	Entities_Details
1241490299215634434	official death toll from #covid19 in the united kingdom is now greater than: germany + poland + switzerland + austria + portugal + greece + sweden + finland + norway + ireland... combined. uk: 67.5 million (233 dead) above group: 185 million (230 dead) httpurl	INFORMATIVE	GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE GPE CARDINAL CARDINAL CARDINAL CARDINAL	the_united_kingdom/GPE germany/GPE poland/GPE switzerland/GPE austria/GPE portugal/GPE greece/GPE sweden/GPE finland/GPE norway_+/GPE ireland/GPE uk/GPE 67.5_million/CARDINAL 233/CARDINAL 185_million/CARDINAL 230/CARDINAL
1245916400981381130	dearest mr. president @user 1,169 coronavirus deaths in the us in 24 hours (?) covid19 pandemic is an international crime from china - not a nature disasster! please use your authorities to protect your people and world against china! #chinahastocompensateall	INFORMATIVE	CARDINAL GPE TIME GPE GPE	1,169/CARDINAL us/GPE 24_hours/TIME china/GPE china/GPE
1241132432402849793	"latest updates march 20 ⚠️5274 new cases and 38 new deaths in the united states illinois: governo pritzker issues ""stay at home"" order for all residents new york: governor cuomo orders 100% of all non-essential workers to stay home penns...source ( /coronavirus/country/us/ )"	INFORMATIVE	DATE CARDINAL GPE GPE PERSON GPE PERSON PERCENT PERSON	march_20/DATE 38/CARDINAL the_united_states/GPE illinois/GPE governo_pritzker/PERSON new_york/GPE cuomo/PERSON 100%/PERCENT penns/PERSON
1236107253666607104	真把公主不当干部 breaking: 21 people on grand princess cruise ship docked off the california coast tested positive for coronavirus, including 19 crew members and two passengers, vice pres. mike pence says. 24 people tested negative. httpurl httpurl	INFORMATIVE	PERSON CARDINAL GPE CARDINAL CARDINAL PERSON CARDINAL	真把公主不当干部/PERSON 21/CARDINAL california/GPE 19/CARDINAL two/CARDINAL mike_pence/PERSON 24/CARDINAL
1239673817552879619	oklahoma city — the state department of education announced monday the closure of all k-12 public schools statewide until at least april 6 as the number of covid-19 cases climb and the risk of community spread grows. httpurl	UNINFORMATIVE	GPE ORG DATE DATE CARDINAL	oklahoma_city/GPE the_state_department_of_education/ORG monday/DATE at_least_april_6/DATE covid-19/CARDINAL
1240790181860409344	"democrats somehow managed to fight ebola without calling it ""the african virus."" a cluster of covid-19 cases has emerged in new york city's hassidic neighborhood, so it's only a matter of time before the local trump klux klan starts talking about ""the jew virus."""	UNINFORMATIVE	NORP NORP GPE GPE ORG NORP	democrats/NORP african/NORP covid-19/GPE new_york_city's/GPE trump_klux_klan/ORG jew/NORP
1249147011003187200	as number of #covid19 deaths surpassed 100,000 worldwide, ny surpassed italy on number of recorded deaths 🔥😷🇺🇸 new york state has more coronavirus cases than any country worldwide httpurl	INFORMATIVE	ORG CARDINAL GPE GPE QUANTITY GPE	covid19/ORG 100,000/CARDINAL ny/GPE italy/GPE 😷🇺🇸/QUANTITY new_york/GPE
1241533144802758656	@user @user 1 week ago today (march 14), there were only 115 cases of covid in fl. today, last count was at 763... that is a 563% increase in 1 week due to your “slave to trump” incompetence. imagine next saturday if there is another 563% increase-we will be at 9300+. resign	INFORMATIVE	DATE DATE DATE CARDINAL NORP GPE DATE CARDINAL PERCENT DATE DATE PERCENT	1_week_ago/DATE today/DATE march_14/DATE only_115/CARDINAL covid/NORP fl/GPE today/DATE 763/CARDINAL 563%/PERCENT 1_week/DATE next_saturday/DATE 563%/PERCENT
1236363091002011649	"“coronavirus impact: close taj mahal till march end, agra mayor urges” “people scared of foreigners and looked at them with suspicion, situation could turn nasty and tarnish india's image internationally,"" he said. not possible to tarnish india further. httpurl"	UNINFORMATIVE	PERSON DATE GPE GPE GPE	taj_mahal/PERSON march_end/DATE agra/GPE india/GPE india/GPE
1245725162957242368	"dear @user in #covid2019 case...give tools &amp; machines to #bangladesh, ""not money"". bcoz, #climate fund money was stolen by the ruling party. @user @user @user @user @user @user @user @user @user httpurl"	UNINFORMATIVE	GPE ORG ORG ORG	#bangladesh/GPE bcoz/ORG #climate_fund/ORG the_ruling_party/ORG
